,CONTRACTOR,STATUS,SUM
80,"Umbrella, Inc",CANCELED,365
81,"Acme, Inc",WAITING,879
82,"Acme, Inc",WAITING,523
83,"Acme, Inc",WAITING,824
84,"Umbrella, Inc",WAITING,158
85,"Acme, Inc",OK,612
86,"Umbrella, Inc",OK,570
87,"Acme, Inc",CANCELED,700
88,"Acme, Inc",CANCELED,790
89,"Umbrella, Inc",CANCELED,524
90,"Acme, Inc",WAITING,837
91,"Umbrella, Inc",WAITING,385
92,"Umbrella, Inc",CANCELED,313
93,"Acme, Inc",CANCELED,210
94,"Acme, Inc",CANCELED,410
95,"Acme, Inc",OK,313
96,"Umbrella, Inc",CANCELED,177
97,"Acme, Inc",OK,760
98,"Umbrella, Inc",OK,925
99,"Umbrella, Inc",WAITING,660
100,"Acme, Inc",CANCELED,141
101,"Umbrella, Inc",WAITING,710
102,"Acme, Inc",CANCELED,566
103,"Umbrella, Inc",WAITING,844
104,"Acme, Inc",CANCELED,253
105,"Umbrella, Inc",OK,621
106,"Umbrella, Inc",CANCELED,335
107,"Umbrella, Inc",WAITING,110
108,"Umbrella, Inc",OK,257
109,"Umbrella, Inc",CANCELED,712
110,"Acme, Inc",CANCELED,179
111,"Umbrella, Inc",CANCELED,343
112,"Umbrella, Inc",OK,396
113,"Acme, Inc",OK,350
114,"Umbrella, Inc",OK,616
115,"Acme, Inc",WAITING,352
116,"Acme, Inc",OK,895
117,"Acme, Inc",OK,855
118,"Umbrella, Inc",CANCELED,632
119,"Acme, Inc",OK,737
120,"Umbrella, Inc",CANCELED,522
121,"Acme, Inc",OK,131
122,"Umbrella, Inc",WAITING,618
123,"Acme, Inc",OK,593
124,"Acme, Inc",CANCELED,473
125,"Umbrella, Inc",OK,318
126,"Umbrella, Inc",OK,674
127,"Acme, Inc",CANCELED,377
128,"Umbrella, Inc",WAITING,462
129,"Acme, Inc",CANCELED,202
130,"Umbrella, Inc",CANCELED,825
131,"Acme, Inc",WAITING,160
132,"Umbrella, Inc",WAITING,968
133,"Umbrella, Inc",CANCELED,433
134,"Acme, Inc",WAITING,519
135,"Acme, Inc",WAITING,690
136,"Acme, Inc",CANCELED,232
137,"Umbrella, Inc",OK,538
138,"Acme, Inc",CANCELED,338
139,"Acme, Inc",OK,665
140,"Umbrella, Inc",CANCELED,738
141,"Umbrella, Inc",OK,528
142,"Umbrella, Inc",CANCELED,276
143,"Umbrella, Inc",CANCELED,745
144,"Umbrella, Inc",CANCELED,602
145,"Umbrella, Inc",WAITING,761
146,"Umbrella, Inc",CANCELED,729
147,"Umbrella, Inc",CANCELED,223
148,"Umbrella, Inc",OK,349
149,"Acme, Inc",WAITING,408
150,"Acme, Inc",OK,870
151,"Umbrella, Inc",WAITING,960
152,"Acme, Inc",WAITING,776
153,"Acme, Inc",WAITING,434
154,"Umbrella, Inc",WAITING,982
155,"Umbrella, Inc",OK,247
156,"Umbrella, Inc",CANCELED,821
157,"Acme, Inc",WAITING,332
158,"Umbrella, Inc",OK,410
159,"Umbrella, Inc",OK,480
160,"Umbrella, Inc",WAITING,746
161,"Acme, Inc",CANCELED,757
162,"Acme, Inc",OK,269
163,"Acme, Inc",CANCELED,765
164,"Acme, Inc",WAITING,940
165,"Acme, Inc",WAITING,558
166,"Acme, Inc",WAITING,715
167,"Umbrella, Inc",WAITING,770
168,"Acme, Inc",WAITING,889
169,"Acme, Inc",OK,891
170,"Umbrella, Inc",CANCELED,895
171,"Acme, Inc",CANCELED,713
172,"Acme, Inc",WAITING,761
173,"Acme, Inc",CANCELED,879
174,"Acme, Inc",CANCELED,842
175,"Acme, Inc",CANCELED,872
176,"Acme, Inc",CANCELED,487
177,"Umbrella, Inc",OK,406
178,"Acme, Inc",OK,659
179,"Umbrella, Inc",WAITING,171
180,"Acme, Inc",CANCELED,520
181,"Umbrella, Inc",OK,891
182,"Acme, Inc",CANCELED,650
183,"Umbrella, Inc",OK,457
184,"Umbrella, Inc",OK,716
185,"Acme, Inc",OK,803
186,"Acme, Inc",WAITING,181
187,"Umbrella, Inc",OK,740
188,"Acme, Inc",WAITING,205
189,"Acme, Inc",WAITING,111
190,"Acme, Inc",WAITING,320
191,"Acme, Inc",CANCELED,271
192,"Acme, Inc",WAITING,622
193,"Acme, Inc",OK,744
194,"Acme, Inc",WAITING,295
195,"Umbrella, Inc",CANCELED,895
196,"Acme, Inc",OK,751
197,"Umbrella, Inc",CANCELED,698
198,"Acme, Inc",WAITING,322
199,"Acme, Inc",WAITING,801
200,"Umbrella, Inc",WAITING,597
201,"Umbrella, Inc",OK,766
202,"Umbrella, Inc",WAITING,101
203,"Umbrella, Inc",WAITING,969
204,"Acme, Inc",OK,525
205,"Umbrella, Inc",WAITING,938
206,"Umbrella, Inc",WAITING,319
207,"Acme, Inc",CANCELED,336
208,"Acme, Inc",OK,897
209,"Acme, Inc",OK,217
210,"Acme, Inc",OK,916
211,"Umbrella, Inc",OK,549
212,"Acme, Inc",OK,170
213,"Acme, Inc",WAITING,435
214,"Umbrella, Inc",WAITING,116
215,"Umbrella, Inc",CANCELED,932
216,"Acme, Inc",OK,600
217,"Acme, Inc",OK,786
218,"Acme, Inc",OK,585
219,"Umbrella, Inc",OK,961
220,"Umbrella, Inc",WAITING,884
221,"Acme, Inc",CANCELED,181
222,"Umbrella, Inc",OK,555
223,"Umbrella, Inc",OK,777
224,"Acme, Inc",CANCELED,794
225,"Acme, Inc",CANCELED,291
226,"Acme, Inc",CANCELED,206
227,"Umbrella, Inc",CANCELED,239
228,"Acme, Inc",WAITING,871
229,"Umbrella, Inc",CANCELED,721
230,"Umbrella, Inc",CANCELED,706
231,"Umbrella, Inc",OK,487
232,"Acme, Inc",CANCELED,244
233,"Acme, Inc",CANCELED,948
234,"Acme, Inc",CANCELED,387
235,"Acme, Inc",OK,537
236,"Umbrella, Inc",CANCELED,903
237,"Acme, Inc",OK,623
238,"Umbrella, Inc",WAITING,521
239,"Umbrella, Inc",OK,939
240,"Umbrella, Inc",OK,903
241,"Acme, Inc",OK,395
242,"Umbrella, Inc",WAITING,778
243,"Acme, Inc",OK,200
244,"Acme, Inc",OK,490
245,"Acme, Inc",CANCELED,891
246,"Umbrella, Inc",OK,188
247,"Acme, Inc",OK,226
248,"Acme, Inc",WAITING,533
249,"Acme, Inc",OK,981
250,"Acme, Inc",CANCELED,918
251,"Acme, Inc",OK,140
252,"Acme, Inc",OK,439
253,"Umbrella, Inc",CANCELED,255
254,"Acme, Inc",OK,800
255,"Acme, Inc",OK,588
256,"Acme, Inc",CANCELED,370
257,"Umbrella, Inc",OK,959
258,"Acme, Inc",CANCELED,809
259,"Umbrella, Inc",OK,520
260,"Umbrella, Inc",CANCELED,345
261,"Acme, Inc",WAITING,649
262,"Acme, Inc",CANCELED,103
263,"Acme, Inc",OK,870
264,"Umbrella, Inc",CANCELED,379
265,"Umbrella, Inc",CANCELED,469
266,"Umbrella, Inc",OK,719
267,"Acme, Inc",CANCELED,345
268,"Umbrella, Inc",OK,998
269,"Acme, Inc",OK,491
270,"Umbrella, Inc",CANCELED,771
271,"Acme, Inc",CANCELED,169
272,"Umbrella, Inc",CANCELED,811
273,"Umbrella, Inc",OK,497
274,"Acme, Inc",CANCELED,968
275,"Umbrella, Inc",OK,650
276,"Umbrella, Inc",OK,326
277,"Umbrella, Inc",CANCELED,873
278,"Acme, Inc",CANCELED,642
279,"Umbrella, Inc",CANCELED,191
280,"Umbrella, Inc",WAITING,136
281,"Umbrella, Inc",CANCELED,678
282,"Umbrella, Inc",CANCELED,182
283,"Umbrella, Inc",CANCELED,890
284,"Umbrella, Inc",CANCELED,517
285,"Umbrella, Inc",OK,905
286,"Umbrella, Inc",OK,439
287,"Acme, Inc",WAITING,784
288,"Acme, Inc",OK,782
289,"Acme, Inc",OK,903
290,"Umbrella, Inc",WAITING,562
291,"Acme, Inc",CANCELED,291
292,"Umbrella, Inc",CANCELED,952
293,"Acme, Inc",WAITING,216
294,"Umbrella, Inc",CANCELED,943
295,"Acme, Inc",CANCELED,937
296,"Umbrella, Inc",CANCELED,520
297,"Umbrella, Inc",WAITING,491
298,"Acme, Inc",OK,789
299,"Acme, Inc",CANCELED,836
300,"Acme, Inc",CANCELED,828
301,"Umbrella, Inc",OK,156
302,"Umbrella, Inc",CANCELED,943
303,"Umbrella, Inc",OK,344
304,"Umbrella, Inc",OK,823
305,"Umbrella, Inc",OK,994
306,"Umbrella, Inc",WAITING,997
307,"Acme, Inc",OK,829
308,"Umbrella, Inc",WAITING,528
309,"Acme, Inc",CANCELED,963
310,"Acme, Inc",CANCELED,362
311,"Umbrella, Inc",OK,176
312,"Umbrella, Inc",WAITING,775
313,"Acme, Inc",WAITING,135
314,"Acme, Inc",WAITING,837
315,"Acme, Inc",CANCELED,310
316,"Umbrella, Inc",OK,185
317,"Acme, Inc",CANCELED,352
318,"Umbrella, Inc",OK,190
319,"Umbrella, Inc",CANCELED,858
320,"Acme, Inc",WAITING,980
321,"Umbrella, Inc",WAITING,900
322,"Umbrella, Inc",OK,458
323,"Acme, Inc",OK,841
324,"Acme, Inc",CANCELED,851
325,"Acme, Inc",OK,646
326,"Acme, Inc",WAITING,674
327,"Acme, Inc",OK,321
328,"Umbrella, Inc",CANCELED,100
329,"Acme, Inc",OK,553
330,"Acme, Inc",CANCELED,947
331,"Acme, Inc",CANCELED,648
332,"Umbrella, Inc",WAITING,368
333,"Umbrella, Inc",CANCELED,412
334,"Umbrella, Inc",WAITING,326
335,"Umbrella, Inc",CANCELED,715
336,"Acme, Inc",OK,999
337,"Acme, Inc",OK,896
338,"Acme, Inc",WAITING,633
339,"Acme, Inc",OK,934
340,"Acme, Inc",CANCELED,413
341,"Umbrella, Inc",OK,107
342,"Acme, Inc",OK,273
343,"Acme, Inc",OK,303
344,"Umbrella, Inc",WAITING,170
345,"Acme, Inc",OK,659
346,"Umbrella, Inc",WAITING,872
347,"Umbrella, Inc",WAITING,575
348,"Umbrella, Inc",CANCELED,824
349,"Acme, Inc",WAITING,955
350,"Acme, Inc",WAITING,825
351,"Umbrella, Inc",CANCELED,647
352,"Acme, Inc",WAITING,880
353,"Umbrella, Inc",WAITING,545
354,"Acme, Inc",WAITING,610
355,"Umbrella, Inc",WAITING,427
356,"Acme, Inc",WAITING,634
357,"Umbrella, Inc",WAITING,664
358,"Umbrella, Inc",OK,145
359,"Acme, Inc",WAITING,159
360,"Acme, Inc",OK,833
361,"Umbrella, Inc",CANCELED,727
362,"Umbrella, Inc",WAITING,615
363,"Acme, Inc",CANCELED,561
364,"Acme, Inc",WAITING,869
365,"Acme, Inc",WAITING,147
366,"Acme, Inc",OK,373
367,"Umbrella, Inc",CANCELED,353
368,"Acme, Inc",OK,529
369,"Umbrella, Inc",OK,398
370,"Umbrella, Inc",WAITING,255
371,"Umbrella, Inc",CANCELED,809
372,"Umbrella, Inc",OK,132
373,"Acme, Inc",OK,482
374,"Umbrella, Inc",OK,813
375,"Acme, Inc",OK,443
376,"Umbrella, Inc",CANCELED,515
377,"Umbrella, Inc",CANCELED,713
378,"Acme, Inc",CANCELED,805
379,"Umbrella, Inc",CANCELED,398
380,"Acme, Inc",WAITING,351
381,"Acme, Inc",CANCELED,153
382,"Umbrella, Inc",CANCELED,448
383,"Acme, Inc",WAITING,167
384,"Umbrella, Inc",WAITING,699
385,"Acme, Inc",CANCELED,561
386,"Umbrella, Inc",CANCELED,617
387,"Acme, Inc",CANCELED,993
388,"Acme, Inc",WAITING,801
389,"Umbrella, Inc",WAITING,564
390,"Umbrella, Inc",WAITING,808
391,"Umbrella, Inc",CANCELED,643
392,"Acme, Inc",CANCELED,635
393,"Acme, Inc",CANCELED,254
394,"Acme, Inc",OK,675
395,"Umbrella, Inc",CANCELED,780
396,"Umbrella, Inc",CANCELED,670
397,"Umbrella, Inc",OK,836
398,"Umbrella, Inc",OK,226
399,"Acme, Inc",CANCELED,588
400,"Acme, Inc",WAITING,959
401,"Umbrella, Inc",CANCELED,529
402,"Umbrella, Inc",WAITING,840
403,"Umbrella, Inc",CANCELED,674
404,"Umbrella, Inc",OK,975
405,"Acme, Inc",CANCELED,137
406,"Acme, Inc",CANCELED,520
407,"Umbrella, Inc",WAITING,528
408,"Umbrella, Inc",CANCELED,172
409,"Umbrella, Inc",WAITING,548
410,"Acme, Inc",CANCELED,116
411,"Acme, Inc",OK,768
412,"Umbrella, Inc",CANCELED,754
413,"Acme, Inc",OK,620
414,"Umbrella, Inc",WAITING,571
415,"Acme, Inc",CANCELED,101
416,"Acme, Inc",OK,725
417,"Umbrella, Inc",WAITING,567
418,"Acme, Inc",OK,974
419,"Acme, Inc",WAITING,424
420,"Umbrella, Inc",CANCELED,333
421,"Acme, Inc",CANCELED,290
422,"Umbrella, Inc",OK,384
423,"Umbrella, Inc",WAITING,834
424,"Umbrella, Inc",OK,438
425,"Acme, Inc",WAITING,804
426,"Umbrella, Inc",CANCELED,831
427,"Umbrella, Inc",WAITING,727
428,"Acme, Inc",CANCELED,328
429,"Umbrella, Inc",OK,342
430,"Acme, Inc",WAITING,760
431,"Umbrella, Inc",OK,212
432,"Umbrella, Inc",OK,330
433,"Acme, Inc",CANCELED,373
434,"Acme, Inc",WAITING,920
435,"Acme, Inc",CANCELED,236
436,"Umbrella, Inc",WAITING,328
437,"Umbrella, Inc",OK,384
438,"Acme, Inc",OK,884
439,"Acme, Inc",CANCELED,949
440,"Acme, Inc",WAITING,737
441,"Umbrella, Inc",OK,453
442,"Umbrella, Inc",WAITING,555
443,"Acme, Inc",WAITING,932
444,"Umbrella, Inc",CANCELED,529
445,"Umbrella, Inc",CANCELED,684
446,"Umbrella, Inc",CANCELED,191
447,"Umbrella, Inc",WAITING,841
448,"Acme, Inc",OK,808
449,"Acme, Inc",WAITING,831
450,"Acme, Inc",WAITING,806
451,"Acme, Inc",OK,915
452,"Umbrella, Inc",WAITING,823
453,"Umbrella, Inc",WAITING,960
454,"Umbrella, Inc",CANCELED,990
455,"Umbrella, Inc",OK,950
456,"Umbrella, Inc",CANCELED,216
457,"Umbrella, Inc",OK,452
458,"Acme, Inc",CANCELED,190
459,"Umbrella, Inc",WAITING,121
460,"Umbrella, Inc",OK,426
461,"Acme, Inc",WAITING,749
462,"Acme, Inc",WAITING,842
463,"Umbrella, Inc",CANCELED,883
464,"Umbrella, Inc",WAITING,120
465,"Umbrella, Inc",WAITING,831
466,"Acme, Inc",CANCELED,496
467,"Acme, Inc",CANCELED,372
468,"Acme, Inc",OK,583
469,"Acme, Inc",WAITING,319
470,"Acme, Inc",CANCELED,613
471,"Acme, Inc",WAITING,636
472,"Acme, Inc",WAITING,506
473,"Acme, Inc",OK,402
474,"Umbrella, Inc",WAITING,571
475,"Umbrella, Inc",OK,319
476,"Acme, Inc",OK,593
477,"Umbrella, Inc",WAITING,974
478,"Umbrella, Inc",WAITING,104
479,"Acme, Inc",CANCELED,979
480,"Acme, Inc",CANCELED,490
481,"Acme, Inc",WAITING,836
482,"Acme, Inc",WAITING,701
483,"Umbrella, Inc",OK,994
484,"Acme, Inc",OK,866
485,"Acme, Inc",WAITING,803
486,"Umbrella, Inc",WAITING,536
487,"Umbrella, Inc",CANCELED,496
488,"Umbrella, Inc",WAITING,235
489,"Umbrella, Inc",CANCELED,912
490,"Acme, Inc",OK,932
491,"Acme, Inc",CANCELED,904
492,"Acme, Inc",CANCELED,105
493,"Umbrella, Inc",WAITING,948
494,"Acme, Inc",WAITING,330
495,"Acme, Inc",WAITING,234
496,"Umbrella, Inc",WAITING,713
497,"Umbrella, Inc",CANCELED,653
498,"Umbrella, Inc",WAITING,156
499,"Acme, Inc",CANCELED,615
500,"Acme, Inc",OK,426
501,"Acme, Inc",CANCELED,801
502,"Umbrella, Inc",CANCELED,542
503,"Umbrella, Inc",WAITING,737
504,"Acme, Inc",WAITING,204
505,"Umbrella, Inc",CANCELED,609
506,"Acme, Inc",OK,173
507,"Umbrella, Inc",CANCELED,269
508,"Acme, Inc",WAITING,774
509,"Umbrella, Inc",OK,793
510,"Acme, Inc",OK,218
511,"Umbrella, Inc",WAITING,965
512,"Acme, Inc",CANCELED,529
513,"Umbrella, Inc",WAITING,965
514,"Acme, Inc",WAITING,292
515,"Umbrella, Inc",OK,691
516,"Acme, Inc",CANCELED,245
517,"Acme, Inc",WAITING,330
518,"Acme, Inc",OK,486
519,"Acme, Inc",OK,213
520,"Acme, Inc",WAITING,116
521,"Umbrella, Inc",CANCELED,660
522,"Acme, Inc",CANCELED,232
523,"Umbrella, Inc",WAITING,672
524,"Acme, Inc",WAITING,401
525,"Acme, Inc",OK,789
526,"Umbrella, Inc",CANCELED,348
527,"Umbrella, Inc",CANCELED,779
528,"Acme, Inc",CANCELED,662
529,"Acme, Inc",OK,864
530,"Umbrella, Inc",WAITING,722
531,"Umbrella, Inc",CANCELED,999
532,"Acme, Inc",WAITING,844
533,"Acme, Inc",WAITING,663
534,"Umbrella, Inc",OK,497
535,"Umbrella, Inc",CANCELED,464
536,"Umbrella, Inc",CANCELED,193
537,"Acme, Inc",CANCELED,832
538,"Umbrella, Inc",CANCELED,389
539,"Acme, Inc",CANCELED,813
540,"Acme, Inc",OK,875
541,"Umbrella, Inc",CANCELED,350
542,"Umbrella, Inc",CANCELED,691
543,"Acme, Inc",WAITING,517
544,"Acme, Inc",CANCELED,937
545,"Umbrella, Inc",CANCELED,904
546,"Acme, Inc",CANCELED,125
547,"Umbrella, Inc",WAITING,143
548,"Acme, Inc",OK,821
549,"Umbrella, Inc",CANCELED,436
550,"Umbrella, Inc",CANCELED,769
551,"Umbrella, Inc",OK,981
552,"Acme, Inc",OK,574
553,"Acme, Inc",CANCELED,134
554,"Acme, Inc",WAITING,224
555,"Umbrella, Inc",WAITING,873
556,"Acme, Inc",WAITING,663
557,"Umbrella, Inc",CANCELED,653
558,"Acme, Inc",OK,640
559,"Acme, Inc",CANCELED,749
560,"Acme, Inc",CANCELED,200
561,"Acme, Inc",WAITING,971
562,"Umbrella, Inc",OK,862
563,"Umbrella, Inc",CANCELED,476
564,"Umbrella, Inc",CANCELED,203
565,"Acme, Inc",WAITING,332
566,"Umbrella, Inc",CANCELED,234
567,"Acme, Inc",WAITING,750
568,"Acme, Inc",CANCELED,743
569,"Umbrella, Inc",WAITING,665
570,"Umbrella, Inc",CANCELED,852
571,"Umbrella, Inc",WAITING,191
572,"Acme, Inc",OK,850
573,"Acme, Inc",OK,702
574,"Umbrella, Inc",OK,345
575,"Acme, Inc",CANCELED,459
576,"Acme, Inc",OK,530
577,"Acme, Inc",CANCELED,924
578,"Acme, Inc",WAITING,373
579,"Umbrella, Inc",OK,992
580,"Umbrella, Inc",WAITING,614
581,"Umbrella, Inc",CANCELED,865
582,"Acme, Inc",WAITING,928
583,"Acme, Inc",CANCELED,936
584,"Acme, Inc",CANCELED,315
585,"Acme, Inc",CANCELED,382
586,"Umbrella, Inc",OK,428
587,"Acme, Inc",CANCELED,667
588,"Umbrella, Inc",OK,143
589,"Umbrella, Inc",CANCELED,305
590,"Umbrella, Inc",WAITING,762
591,"Acme, Inc",CANCELED,801
592,"Umbrella, Inc",WAITING,480
593,"Acme, Inc",CANCELED,722
594,"Umbrella, Inc",OK,539
595,"Acme, Inc",CANCELED,211
596,"Umbrella, Inc",OK,570
597,"Umbrella, Inc",CANCELED,378
598,"Acme, Inc",OK,276
599,"Umbrella, Inc",OK,478
600,"Umbrella, Inc",OK,896
601,"Acme, Inc",OK,819
602,"Acme, Inc",OK,583
603,"Umbrella, Inc",WAITING,945
604,"Umbrella, Inc",OK,497
605,"Umbrella, Inc",CANCELED,624
606,"Umbrella, Inc",CANCELED,981
607,"Acme, Inc",WAITING,548
608,"Acme, Inc",OK,445
609,"Umbrella, Inc",CANCELED,999
610,"Acme, Inc",CANCELED,655
611,"Acme, Inc",CANCELED,229
612,"Acme, Inc",WAITING,576
613,"Acme, Inc",WAITING,184
614,"Acme, Inc",CANCELED,718
615,"Umbrella, Inc",WAITING,216
616,"Umbrella, Inc",CANCELED,778
617,"Acme, Inc",CANCELED,377
618,"Umbrella, Inc",CANCELED,513
619,"Umbrella, Inc",WAITING,506
620,"Umbrella, Inc",CANCELED,640
621,"Umbrella, Inc",OK,272
622,"Umbrella, Inc",WAITING,205
623,"Umbrella, Inc",WAITING,247
624,"Acme, Inc",OK,505
625,"Umbrella, Inc",CANCELED,540
626,"Umbrella, Inc",WAITING,137
627,"Acme, Inc",OK,922
628,"Acme, Inc",OK,303
629,"Umbrella, Inc",OK,168
630,"Acme, Inc",CANCELED,442
631,"Acme, Inc",CANCELED,957
632,"Umbrella, Inc",OK,182
633,"Umbrella, Inc",WAITING,937
634,"Umbrella, Inc",WAITING,224
635,"Acme, Inc",WAITING,648
636,"Umbrella, Inc",CANCELED,346
637,"Acme, Inc",OK,886
638,"Acme, Inc",WAITING,288
639,"Acme, Inc",CANCELED,378
640,"Acme, Inc",CANCELED,431
641,"Acme, Inc",OK,619
642,"Umbrella, Inc",CANCELED,955
643,"Umbrella, Inc",CANCELED,388
644,"Umbrella, Inc",OK,924
645,"Acme, Inc",WAITING,299
646,"Umbrella, Inc",OK,116
647,"Acme, Inc",WAITING,406
648,"Acme, Inc",CANCELED,172
649,"Acme, Inc",OK,579
650,"Umbrella, Inc",OK,285
651,"Acme, Inc",OK,961
652,"Acme, Inc",CANCELED,149
653,"Acme, Inc",CANCELED,387
654,"Acme, Inc",CANCELED,950
655,"Acme, Inc",WAITING,995
656,"Acme, Inc",WAITING,580
657,"Acme, Inc",CANCELED,504
658,"Umbrella, Inc",WAITING,680
659,"Acme, Inc",WAITING,699
660,"Umbrella, Inc",WAITING,234
661,"Umbrella, Inc",WAITING,579
662,"Acme, Inc",OK,567
663,"Umbrella, Inc",OK,422
664,"Acme, Inc",OK,270
665,"Umbrella, Inc",WAITING,965
666,"Umbrella, Inc",CANCELED,249
667,"Acme, Inc",WAITING,706
668,"Acme, Inc",OK,649
669,"Acme, Inc",OK,476
670,"Umbrella, Inc",OK,504
671,"Acme, Inc",OK,979
672,"Acme, Inc",WAITING,509
673,"Acme, Inc",CANCELED,260
674,"Acme, Inc",CANCELED,609
675,"Umbrella, Inc",OK,298
676,"Acme, Inc",WAITING,112
677,"Umbrella, Inc",OK,635
678,"Umbrella, Inc",CANCELED,301
679,"Umbrella, Inc",CANCELED,572
680,"Acme, Inc",CANCELED,666
681,"Acme, Inc",CANCELED,104
682,"Umbrella, Inc",OK,690
683,"Acme, Inc",CANCELED,967
684,"Umbrella, Inc",CANCELED,578
685,"Umbrella, Inc",WAITING,887
686,"Umbrella, Inc",OK,304
687,"Umbrella, Inc",CANCELED,802
688,"Umbrella, Inc",CANCELED,251
689,"Umbrella, Inc",OK,833
690,"Acme, Inc",OK,879
691,"Acme, Inc",WAITING,767
692,"Acme, Inc",CANCELED,134
693,"Acme, Inc",CANCELED,574
694,"Umbrella, Inc",OK,363
695,"Acme, Inc",OK,998
696,"Umbrella, Inc",CANCELED,524
697,"Umbrella, Inc",CANCELED,292
698,"Acme, Inc",OK,847
699,"Umbrella, Inc",CANCELED,291
700,"Umbrella, Inc",WAITING,114
701,"Acme, Inc",CANCELED,408
702,"Acme, Inc",WAITING,602
703,"Umbrella, Inc",WAITING,249
704,"Acme, Inc",WAITING,485
705,"Acme, Inc",CANCELED,955
706,"Umbrella, Inc",WAITING,914
707,"Umbrella, Inc",OK,541
708,"Acme, Inc",OK,124
709,"Umbrella, Inc",WAITING,458
710,"Umbrella, Inc",WAITING,732
711,"Umbrella, Inc",OK,557
712,"Acme, Inc",CANCELED,179
713,"Umbrella, Inc",WAITING,264
714,"Umbrella, Inc",CANCELED,126
715,"Umbrella, Inc",WAITING,898
716,"Umbrella, Inc",OK,285
717,"Acme, Inc",CANCELED,595
718,"Acme, Inc",OK,541
719,"Umbrella, Inc",OK,253
720,"Acme, Inc",WAITING,917
721,"Umbrella, Inc",OK,358
722,"Acme, Inc",OK,721
723,"Umbrella, Inc",WAITING,638
724,"Acme, Inc",CANCELED,770
725,"Acme, Inc",WAITING,584
726,"Umbrella, Inc",OK,982
727,"Umbrella, Inc",WAITING,672
728,"Umbrella, Inc",OK,957
729,"Umbrella, Inc",OK,843
730,"Acme, Inc",OK,678
731,"Acme, Inc",WAITING,235
732,"Acme, Inc",WAITING,243
733,"Acme, Inc",CANCELED,206
734,"Umbrella, Inc",WAITING,216
735,"Acme, Inc",WAITING,118
736,"Umbrella, Inc",WAITING,433
737,"Acme, Inc",CANCELED,201
738,"Umbrella, Inc",CANCELED,640
739,"Umbrella, Inc",CANCELED,226
740,"Acme, Inc",OK,996
741,"Umbrella, Inc",WAITING,581
742,"Umbrella, Inc",CANCELED,179
743,"Acme, Inc",WAITING,559
744,"Acme, Inc",CANCELED,721
